section,exercise_number,exercise_text,a,b,c,d,e,f,graphic,answer,solution
"Admitere F1 iulie 2016","2016.A.10.","Un număr de 10 cuburi identice fiecare cu latura de $20 \mathrm{~cm}$ și masa $2 \mathrm{~kg}$ se află unul lângă altul pe un plan orizontal. Pentru a aşeza cuburile unul peste altul astfel încât să formeze pe planul orizontal o coloană verticală, lucrul mecanic necesar este ( $g=10 \mathrm{~m} / \mathrm{s}^{2}$ ): (6 pct.)\\","$90 \mathrm{~J}$","$180 \mathrm{~J}$","$40 \mathrm{~J}$","$220 \mathrm{~J}$","$4 \mathrm{~J}$","$110 \mathrm{~J}$","N/A","b","$L=\sum_{i=1}^{9} m g \cdot i l=m g l \cdot \sum_{i=1}^{9} i=45 m g l=180 \mathrm{~J}$.\\ Răspuns corect b.\\"
"Admitere F1 iulie 2016","2016.A.11.","Un corp cu masa de $20 \mathrm{~kg}$ este fabricat din fontă având căldura specifică $540 \mathrm{~J} /(\mathrm{kg} \cdot \mathrm{K})$. Cantitatea de căldură necesară încălzirii corpului cu $40^{\circ} \mathrm{C}$ este: (6  pct.)\\","$216 \mathrm{~kJ}$","$864 \mathrm{~kJ}$","$432 \mathrm{~kJ}$","$600 \mathrm{~kJ}$","$864 \mathrm{~J}$","$600 \mathrm{~J}$","N/A","c","$Q=m c \Delta T=20 \mathrm{~kg} \cdot 540 \frac{\mathrm{J}}{\mathrm{kg} \cdot \mathrm{K}} \cdot 40 \mathrm{~K}=432 \cdot 10^{3} \mathrm{~J}=432 \mathrm{~kJ}$.\\ Răspuns corect c.\\"
"Admitere F1 iulie 2016","2016.A.12.","Un corp punctiform este aruncat de jos în sus în câmp gravitational ( $g=10 \mathrm{~m} / \mathrm{s}^{2}$ ) cu viteza $v_{0}=10 \mathrm{~m} / \mathrm{s}$. Înălțimea maximă la care ajunge corpul este: (6 pct.)\\","$4 \mathrm{~m}$","$15 \mathrm{~m}$","$1 \mathrm{~m}$","$8 \mathrm{~m}$","$5 \mathrm{~m}$","$10 \mathrm{~m}$","N/A","e","$h_{u}=\frac{v_{0}^{2}}{2 g}=5 \mathrm{~m}$.\\ Răspuns corect e.\\"
"Admitere F1 iulie 2016","2016.A.13.","La bornele unui conductor cu rezistența electrică de $3 \Omega$ se aplică o tensiune electrică de $9 \mathrm{~V}$. Sarcina electrică transportată printr-o secțiune transversală a conductorului în timp de $20 \mathrm{~s}$ este: (6 pct.)\\","$6 \mathrm{~C}$","$18 \mathrm{~C}$","$60 \mathrm{~C}$","$10 \mathrm{~C}$","$600 \mathrm{~C}$","$180 \mathrm{~C}$","N/A","c","$q=I \cdot t=\frac{U}{R} \cdot t=60 \mathrm{C}$.\\ Răspuns corect c.\\"
"Admitere F1 iulie 2016","2016.A.14.","Printr-un rezistor cu rezistenta de $15 \Omega$ trece un curent electric cu intensitatea de $2 \mathrm{~A}$. Puterea disipată pe rezistor este: (6 pct.)\\","$15 \mathrm{~W}$","$60 \mathrm{~J}$","$15 \mathrm{~J}$","$60 \mathrm{~W}$","$30 \mathrm{~J}$","$30 \mathrm{~W}$","N/A","d","$P=R I^{2}=60 \mathrm{~W}$.\\ Răspuns corect d.\\"
"Admitere F1 iulie 2016","2016.A.15.","Utilizând notaţiile din manualele de fizică, legea lui Ohm pentru un circuit simplu este: (6 pct.)\\","$I=\frac{E}{R+r}$","$I=E \cdot r$","$I=E \cdot R$","$I=\frac{U^{2}}{R}$","$I=U \cdot R$","$I=E \cdot(R+r)$","N/A","a","Legea lui Ohm este: $I=\frac{E}{R+r}$.\\ Răspuns corect a.\\"
"Admitere F1 iulie 2015","2015.A.1.","La legarea în serie sau în paralel a patru generatoare electrice identice, puterea disipată pe un rezistor este $P=160 \mathrm{~W}$. Puterea disipată de un singur generator pe acelaşi rezistor este: ( 5 pct.)\\","$32,5 \mathrm{~W}$","$256 \mathrm{~W}$","$62,5 \mathrm{~W}$","$52,5 \mathrm{~W}$","$125 \mathrm{~W}$","$6,25 \mathrm{~W}$","N/A","c","La legarea în serie a celor patru generatoare identice, intensitatea curentului prin rezistorul de rezistență $R$, conectat la bornele acestei baterii de generatoare, este:\\ $I_{s}=\frac{4 E}{R+4 r}$, iar puterea disipată pe rezistor este $P=R I_{s}^{2}$.\\ La legarea generatoarelor în paralel, intensitatea curentului prin acelaşi rezistor de rezistență $R$, conectat la noua baterie de generatoare, este:\\ $I_{p}=\frac{E}{R+\frac{r}{4}}$, iar puterea disipată pe rezistor este $P=R I_{p}^{2}$.\\ Egalând puterile şi înlocuind expresiile $I_{s}$ şi $I_{p}$, rezultă $R=r$.\\ La conectarea rezistorului la un singur generator, intensitatea curentului prin circuit este $I=\frac{E}{R+r}$. Ținând cont că $R=r, I=\frac{E}{2 R}$, iar puterea disipată pe rezistor este $P^{\prime}=R I^{2}$, adică $P^{\prime}=\frac{E^{2}}{4 R}$. Din $P=R I_{p}^{2}$ şi $R=r$ rezultă:\\ $P=R I_{p}^{2}=R\left(\frac{E}{R+\frac{r}{4}}\right)^{2}=R\left(\frac{E}{R+\frac{R}{4}}\right)^{2}=\frac{16}{25} \frac{E^{2}}{R}$, adică $\frac{E^{2}}{R}=\frac{25}{16} P$.\\ Ca urmare, $P^{\prime}=\frac{E^{2}}{4 R}=\frac{1}{4} \cdot \frac{25}{16} P=62,5 \mathrm{~W}$. Răspuns corect c.\\"
"Admitere F1 iulie 2015","2015.A.2.","Volumul unui mol de gaz ideal la temperatura de $300 \mathrm{~K}$ şi presiunea de $10^{5} \mathrm{~Pa}$ ($\mathrm{R}=8,3 \mathrm{~J} / \mathrm{mol} \cdot \mathrm{K}$) este egal cu: (5 pct.)\\","$0,0214 \mathrm{~m}^{3}$","$41,3 \mathrm{~l}$","$0,0249 \mathrm{~m}^{3}$","$0,022 \mathrm{~m}^{3}$","$26,4 \mathrm{~l}$","$22,4 \mathrm{~l}$","N/A","c","Din ecuația termică de stare a gazului ideal, $p V=\nu R T$, se obține $V=\frac{\nu R T}{p}$, adică $V=\frac{1 \cdot 8,3 \cdot 300}{10^{5}}=0,0249 \mathrm{~m}^{3}$. Răspuns corect c.\\"
"Admitere F1 iulie 2015","2015.A.3.","Randamentul unui ciclu Carnot având temperaturile $\mathrm{T}_{1}=500 \mathrm{~K}$ şi $\mathrm{T}_{2}=300 \mathrm{~K}$ este: (5 pct.)\\","$0,3$","$0,1$","$0,4$","$0,8$","$0,6$","$0,2$","N/A","c","Randamentul ciclului Carnot, exprimat în funcție de temperaturile surselor caldă ($T_{1}$) şi respectiv rece ($T_{2}$), este $\eta=1-\frac{T_{2}}{T_{1}}$, adică: $\eta=1-\frac{300}{500}=0,4$. Răspuns corect c.\\"
"Admitere F1 iulie 2015","2015.A.4.","Căldura disipată de un consumator cu rezistenţa de $20 \Omega$ străbătut de un curent de intensitate $2 \mathrm{~A}$ timp de 5 minute este: (5 pct.)\\","$40 \mathrm{~J}$","$24 \mathrm{~kJ}$","$400 \mathrm{~J}$","$240 \mathrm{~J}$","$4 \mathrm{~kJ}$","$24 \mathrm{~J}$","N/A","b","Conform definiției $Q=W=U I t=R I^{2} t$, adică $Q=20 \cdot 4 \cdot(5 \cdot 60)=24000 \mathrm{~J}$, adică $Q=24 \mathrm{~kJ}$. Răspuns corect b.\\"
"Admitere F1 iulie 2015","2015.A.5.","Utilizând notaţiile din manualele de fizică, ecuaţia termică de stare a gazului ideal este: (5 pct.)\\","$p T=\nu R V$","$p V=\nu R T$","$V=\nu R p T$","$T=\nu R p V$","$p=\nu R T V$","$V T=\nu R p$","N/A","b","$p V=\nu R T$. Răspuns corect b.\\"
"Admitere F1 iulie 2015","2015.A.6.","Un corp coboară fără frecare pe un plan înclinat de unghi $30^{\circ}$. Acceleraţia corpului este $\left(g=10 \mathrm{~m} / \mathrm{s}^{2}\right)$: ( 5 pct.)\\","$2,5 \mathrm{~m} / \mathrm{s}^{2}$","$5 \mathrm{~m} / \mathrm{s}^{2}$","$0,5 \mathrm{~m} / \mathrm{s}^{2}$","$10 \mathrm{~m} / \mathrm{s}^{2}$","$5 \sqrt{3} \mathrm{~m} / \mathrm{s}^{2}$","$20 \mathrm{~m} / \mathrm{s}^{2}$","N/A","b","Forța care acționează asupra corpului şi îi imprimă accelerația este componenta tangențială (paralelă cu planul înclinat) a greutății sale:\\ $G_{t}=m g \sin \alpha$, unde $\alpha$ este unghiul planului înclinat.\\ Aplicând expresia principiului al doilea al mecanicii, $\vec{F}=m \vec{a}$, rezultă $a=\frac{G_{t}}{m}=g \sin \alpha$, adică $a=10 \cdot \frac{1}{2}=5 \mathrm{~m} / \mathrm{s}^{2}$. Răspuns corect b.\\"
"Admitere F1 iulie 2015","2015.A.7.","O masă de $150 \mathrm{~g}$ de gaz ideal ($\mu=18 \mathrm{~g} / \mathrm{mol}$) suferă o transformare în care presiunea variază liniar cu volumul. Gazul trece din starea $p_{1}=7 \cdot 10^{5} \mathrm{~Pa}$, $V_{1}=32 \mathrm{~l}$ în starea $p_{2}=10^{6} \mathrm{~Pa}$, $V_{2}=22 \mathrm{~l}$. Temperatura maximă atinsă de gaz în această transformare este ($\mathrm{R}=8,3 \mathrm{~J} / \mathrm{mol} \cdot \mathrm{K}$): ( 5 pct.)\\","$345 \mathrm{~K}$","$286,23 \mathrm{~K}$","$312,54 \mathrm{~K}$","$294 \mathrm{~K}$","$440,5 \mathrm{~K}$","$332 \mathrm{~K}$","N/A","f","Gazul suferă o transformare generală descrisă în coordonate ($p, V$) prin legea $p(V)=a \cdot V+b$, în care $a=\frac{p_{2}-p_{1}}{V_{2}-V_{1}}$ şi $b=p_{1}-a \cdot V_{1}$, adică $a=-3 \cdot 10^{7} \mathrm{~Pa} / \mathrm{m}^{3}$ respectiv $b=16,6 \cdot 10^{5} \mathrm{~Pa}$.\\ Înlocuind în această relație expresia presiunii $p=\frac{\nu R T}{V}$, așa cum rezultă din ecuația termică de stare a gazului ideal, se obține legea transformării generale a gazului în coordonate ($V, T$): $T(V)=\frac{1}{\nu R}\left(a \cdot V^{2}+b \cdot V\right)$.\\ Din condiția de extremum a acestei funcții, când volumul gazului este $V_{M}=-\frac{b}{2 a}$, el atinge temperatura maximă $T_{\text {max}}\left(V=V_{M}\right)=\frac{1}{\nu R}\left(\frac{-b^{2}}{4 a}\right)$, adică $T_{\text {max}}=332 \mathrm{~K}$. Răspuns corect f.\\"
"Admitere F1 iulie 2015","2015.A.8.","La capetele unui conductor de rezistenţă $2 \Omega$ se aplică o tensiune electrică de $4 \mathrm{~V}$. Intensitatea curentului electric prin conductor este: (5 pct.)\\","$1 \mathrm{~A}$","$2 \mathrm{~A}$","$3 \mathrm{~A}$","$8 \mathrm{~A}$","$0,5 \mathrm{~A}$","$4 \mathrm{~A}$","N/A","b","Aplicând legea lui Ohm pentru o porțiune de circuit, $I=\frac{U}{R}$, rezultă:\\ $I=\frac{4}{2}=2 \mathrm{~A}$. Răspuns corect b.\\"
"Admitere F1 iulie 2015","2015.A.9.","O forţă de $20 \mathrm{~N}$ acţionează asupra unui corp de masă $m=5 \mathrm{~kg}$ aflat în repaus pe o suprafaţă orizontală. Dacă se neglijează frecarea, spaţiul parcurs de corp în primele 5 secunde de mişcare este: ( 5 pct.)\\","$5 \mathrm{~m}$","$10 \mathrm{~m} / \mathrm{s}$","$50 \mathrm{~m}$","$100 \mathrm{~m}$","$2 \mathrm{~m}$","$10 \mathrm{~m}$","N/A","c","Accelerația imprimată corpului rezultă din expresia principiului al doilea al mecanicii, $\vec{F}=m \vec{a}$, adică $a=\frac{F}{m}$.\\ Legea spațiului pentru corpul care pleacă din repaus este: $s=\frac{1}{2} a t^{2}$.\\ Rezultă $s=\frac{1}{2} \frac{F}{m} t^{2}$, adică $s=\frac{1}{2} \frac{20}{5} \cdot 25=50 \mathrm{~m}$. Răspuns corect c.\\"
"Admitere F1 iulie 2015","2015.A.10.","Un gaz ideal aflat la presiunea de $10^{5} \mathrm{~Pa}$ suferă o transformare izocoră în urma căreia temperatura gazului se dublează. Presiunea gazului creşte cu: ( 5 pct.)\\","$3 \cdot 10^{5} \mathrm{~Pa}$","$10^{5} \mathrm{~Pa}$","$2 \cdot 10^{4} \mathrm{~Pa}$","$5 \cdot 10^{4} \mathrm{~Pa}$","$1,5 \cdot 10^{5} \mathrm{~Pa}$","$2 \cdot 10^{5} \mathrm{~Pa}$","N/A","b","Aplicând legea transformării izocore, $\frac{p}{T}=$ const., se obține $\frac{p_{1}}{T_{1}}=\frac{p_{2}}{2 T_{1}}$ şi $p_{2}=2 p_{1}$. Presiunea gazului creşte cu $\Delta p=p_{2}-p_{1}=p_{1}$, adică $\Delta p=10^{5} \mathrm{~Pa}$. Răspuns corect b.\\"
"Admitere F1 iulie 2015","2015.A.11.","Puterea disipată pe un rezistor cu rezistenţa de $2 \Omega$ parcurs de un curent de $2 \mathrm{~A}$ este egală cu: (5 pct.)\\","$1 \mathrm{~W}$","$2 \mathrm{~J}$","$2 \mathrm{~W}$","$8 \mathrm{~W}$","$12 \mathrm{~W}$","$4 \mathrm{~W}$","N/A","d","Conform definiției puterii electrice, $P=U I$ și legii lui Ohm pentru o porțiune de circuit, $U=R I$, rezultă $P=R I^{2}$, adică:\\ $P=2 \cdot 4=8 \mathrm{~W}$. Răspuns corect d.\\"
"Admitere F1 iulie 2015","2015.A.12.","Energia cinetică a unui corp de masă $m=2 \mathrm{~kg}$, care se mişcă cu viteza de $5 \mathrm{~m} / \mathrm{s}$, este: ( 5 pct.)\\","$12 \mathrm{~J}$","$10 \mathrm{~J}$","$100 \mathrm{~J}$","$3 \mathrm{~W}$","$50 \mathrm{~J}$","$25 \mathrm{~J}$","N/A","f","Conform definiției energiei cinetice, $E_{c}=\frac{1}{2} m v^{2}$, rezultă $E_{c}=\frac{1}{2} 2 \cdot 25=25 \mathrm{~J}$. Răspuns corect f.\\"
"Admitere F1 iulie 2015","2015.A.13.","Unitatea de măsură în SI pentru impuls este: (5 pct.)\\","$\mathrm{W}$","$\mathrm{J}$","$\mathrm{m} / \mathrm{s}$","$\mathrm{kg}$","$\mathrm{kg} \cdot \mathrm{m} / \mathrm{s}$","$\mathrm{kg} \cdot \mathrm{m} / \mathrm{s}^{2}$","N/A","e","$[p]_{\mathrm{SI}}=\mathrm{kg} \cdot \mathrm{m} / \mathrm{s}$. Răspuns corect e.\\"
"Admitere F1 iulie 2015","2015.A.14.","Utilizând notaţiile din manualele de fizică, legea lui Ohm pentru circuitul simplu este: (5 pct.)\\","$I=\frac{E}{R+r}$","$\mathrm{U}=\frac{\mathrm{I}}{\mathrm{R}}$","$\mathrm{U}=\frac{\mathrm{I}}{\mathrm{r}}$","$E=\frac{I}{R+r}$","$I=E^{2} \cdot(R+r)$","$E=\frac{I}{(R+r)^{2}}$","N/A","a","$I=\frac{E}{R+r}$. Răspuns corect a.\\"
"Admitere F1 iulie 2015","2015.A.15.","Temperatura unui kilogram de apă (cu căldura specifică $c=4185 \mathrm{~J} / \mathrm{kg} \cdot \mathrm{K}$), care primeşte o cantitate de căldură de $83700 \mathrm{~J}$, variază cu: ( 5 pct.)\\","$20^{\circ} \mathrm{C}$","$10 \mathrm{~K}$","$200 \mathrm{~K}$","$40 \mathrm{~K}$","$2^{\circ} \mathrm{C}$","$30^{\circ} \mathrm{C}$","N/A","a","Din definiția căldurii specifice a unei substanțe, $c=\frac{Q}{m \Delta T}$, rezultă $\Delta T=\frac{Q}{m c}$, adică $\Delta T=\frac{83700}{1 \cdot 4185}=20 \mathrm{~K}$ sau $\Delta t=20^{\circ} \mathrm{C}$. Răspuns corect a.\\"
"Admitere F1 iulie 2015","2015.A.16.","Două rezistoare cu rezistenţele de $2 \Omega$ şi respectiv $8 \Omega$ sunt legate în paralel. Rezistenţa echivalentă a grupării este: (5 pct.)\\","$10 \Omega$","$1,6 \Omega$","$16 \Omega$","$2 \Omega$","$4 \Omega$","$0,625 \Omega$","N/A","b","Din $\frac{1}{R_{p}}=\frac{1}{R_{1}}+\frac{1}{R_{2}}$ rezultă $R_{p}=\frac{R_{1} R_{2}}{R_{1}+R_{2}}$, adică $R_{p}=1,6 \Omega$. Răspuns corect b.\\"
"Admitere F1 iulie 2015","2015.A.17.","Legea de mişcare a unui mobil este $x(t)=2 t^{2}-8 t+21$ (m). Coordonata $x$ a mobilului la momentul de timp $t=2 \mathrm{~s}$ este: (5 pct.)\\","$21 \mathrm{~m}$","$1 \mathrm{~m}$","$13 \mathrm{~m}$","$15 \mathrm{~m}$","$11 \mathrm{~m}$","$2 \mathrm{~m}$","N/A","c","Introducând valoarea $t=2 \mathrm{~s}$ în legea de mişcare se obține:\\ $x(2)=2 \cdot 4-8 \cdot 2+21=13 \mathrm{~m}$. Răspuns corect c.\\"
"Admitere F1 iulie 2015","2015.A.18.","Sub acţiunea unei forţe deformatoare $F$, alungirea absolută a unui resort cu constanta de elasticitate $k$ este: (5 pct.)\\","$F^{2} \cdot k$","$F \cdot k^{2}$","$F / k$","$k / F$","$F \cdot k$","$F / 2 k$","N/A","c","Conform definiției, $F=k \cdot \Delta l$, adică $\Delta l=\frac{F}{k}$. Răspuns corect c.\\"
"Admitere Fb iulie 2023","2023.A.1.","Rezistența echivalentă a două rezistoare conectate în paralel este $2,4 \mathrm{~k} \Omega$. Unul dintre rezistoare are rezistența egală cu $4 k \Omega$. Rezistența celuilalt rezistor este: ( 9 pct.)\\","$6000 \Omega$","$600 \Omega$","$60 \Omega$","$60 \mathrm{~k} \Omega$","$6 \Omega$","$1,6 \mathrm{~k} \Omega$","N/A","a","Rezistența echivalentă a grupării paralel este $R_{e}=\frac{R_{1} R_{2}}{R_{1}+R_{2}} 2$. De unde rezultă: $R_{2}=6 \mathrm{~k} \Omega$. Răspuns corect a.\\"
"Admitere Fb iulie 2023","2023.A.2.","Un corp cu masa de $2,5 \mathrm{~kg}$ este suspendat de un resort având constanta elastică egală cu $250 \mathrm{~N} / \mathrm{m}$. Alungirea resortului este ($g=10 \mathrm{~m} / \mathrm{s}^{2}$): (9 pct.)\\","$10 \mathrm{~cm}$","$1 \mathrm{~cm}$","$10 \mathrm{~m}$","$1 \mathrm{~m}$","$4 \mathrm{~cm}$","$40 \mathrm{~cm}$","N/A","a","Forța elastică este $F_{e}=k \Delta l$ deci alungirea este $\frac{F}{k}=10 \mathrm{~cm}$. Răspuns corect a.\\"
"Admitere Fb iulie 2023","2023.A.3.","Un gaz ideal aflat inițial la presiunea de $1 \mathrm{~kPa}$ se destinde izoterm până când volumul său se dublează. Presiunea finală a gazului este: (9 pct.)\\","$500 \mathrm{~Pa}$","$500 \mathrm{~kPa}$","$50 \mathrm{~kPa}$","$2 \mathrm{~kPa}$","$1 \mathrm{~Pa}$","$4 \mathrm{~kPa}$","N/A","a","Din legea transformării izoterme rezultă $P_{2}=\frac{P_{1} V_{1}}{V_{2}}=500 \mathrm{~Pa}$. Răspuns corect a.\\"
"Admitere Fb iulie 2023","2023.A.4.","Un motor funcționează după un ciclu Carnot între două rezervoare termice având temperaturile de $900 \mathrm{~K}$ şi $300 \mathrm{~K}$. În fiecare ciclu, motorul efectuează un lucru mecanic de $1200 \mathrm{~J}$. Căldura cedată sursei reci într-un ciclu este: (9 pct.)\\","$600 \mathrm{~J}$","$1800 \mathrm{~J}$","$660 \mathrm{~J}$","$1320 \mathrm{~J}$","$400 \mathrm{~J}$","$2400 \mathrm{~J}$","N/A","a","Randamentul unui motor termic este $\eta=\frac{L}{Q_{\text {prim}}}$. Din conservarea energiei, $Q_{\text {prim}}=L+ \left|Q_{ced}\right|$. Randamentul ciclului Carnot este $\eta=1-\frac{T_{2}}{T_{1}}$, de unde rezultă $\left|Q_{ced}\right|=\frac{T_{2} L}{T_{1}-T_{2}}=600 \mathrm{~J}$. Răspuns corect a.\\"
"Admitere Fb iulie 2023","2023.A.5.","Un circuit este format dintr-o sursă cu t.e.m. de $12 \mathrm{~V}$ și rezistența internă de $6 \Omega$ şi un rezistor cu rezistență variabilă. Puterea maximă ce poate fi debitată în rezistor este: (9 pct.)\\","$6 \mathrm{~W}$","$2 \mathrm{~W}$","$24 \mathrm{~W}$","$12 \mathrm{~W}$","$72 \mathrm{~W}$","$1 \mathrm{~W}$","N/A","a","Puterea maximă debitată într-un circuit se obține când rezistența circuitului este egală cu rezistența internă a sursei: $P=I^{2} r=\frac{E^{2}}{4 r}=6 \mathrm{~W}$. Răspuns corect a.\\"
"Admitere Fb iulie 2023","2023.A.6.","Legea de mişcare a unui punct material cu masa de $2 \mathrm{~kg}$ este $x(t)=5+6t+1,5t^{2}$, unde $x$ este măsurat în metri, iar $t$ în secunde. Forța care acționează asupra punctului material este: (9 pct.)\\","$6 \mathrm{~N}$","$3 \mathrm{~N}$","$16 \mathrm{~N}$","$1,5 \mathrm{~N}$","$12 \mathrm{~N}$","$10 \mathrm{~N}$","N/A","a","Din legea mişcării rezultă: $\frac{a}{2}=1,5 \mathrm{~m} / \mathrm{s}^{2}$, de unde $a=3 \mathrm{~m} / \mathrm{s}^{2}$.\\ Deci forța care acționează este $F=m a=6 \mathrm{~N}$. Răspuns corect a.\\"
"Admitere Fb iulie 2023","2023.A.7.","Un circuit electric este format din trei surse ideale de tensiune cu t.e.m. de $100 \mathrm{~V}$, patru rezistoare, fiecare având rezistența $R$ de $4 \Omega$ şi un rezistor cu rezistența variabilă $R_{x}$, conectate ca în figură. Dacă tensiunea la bornele rezistorului $R_{x}$ este de $34 \mathrm{~V}$, intensitatea curentului prin acesta are valoarea: ( 9 pct.)\\","$4 \mathrm{~A}$","$5 \mathrm{~A}$","$6 \mathrm{~A}$","$7 \mathrm{~A}$","$8 \mathrm{~A}$","$9 \mathrm{~A}$","images/2025_08_19_17c3b9471cd89f0defc4g-02(1)","a","Circuitul poate fi simplificat considerând o grupare paralel a două surse de tensiune electromotoare $E$ și rezistența internă $R$. Astfel, se obține schema echivalentă din figură în care se aplică legea lui Kirchoff:\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_08_19_17c3b9471cd89f0defc4g-03(1)} \end{center}\\ $\left\{\begin{array}{c} 2 I_{1} R+I R=E \\ I \frac{R}{2}+I R_{x}+I_{1} R+I R=E \end{array}\right.$, unde $I R_{x}=U$\\ De aici rezultă: $I=\frac{E-2 U}{2 R}=4 \mathrm{~A}$. Răspuns corect a.\\"
"Admitere Fb iulie 2023","2023.A.8.","Un corp cu masa de $1000 \mathrm{~g}$ este lansat de la baza unui plan înclinat, în lungul acestuia, cu viteza de $4 \mathrm{~m} / \mathrm{s}$. Corpul revine la baza planului înclinat cu o viteză egală cu jumătate din viteza inițială. Lucrul mecanic al forțelor de frecare dintre corp şi plan este: (9 pct.)\\","$-6 \mathrm{~J}$","$-3 \mathrm{~J}$","$-1 \mathrm{~J}$","$-12 \mathrm{~J}$","$-18 \mathrm{~J}$","$-5 \mathrm{~J}$","N/A","a","Din teorema de variație a energiei cinetice rezultă $\left|L_{Ff}\right|=\left|\frac{m v^{2}}{2}-\frac{m v_{0}^{2}}{2}\right|=6 \mathrm{~J}$. Răspuns corect a.\\"
"Admitere Fb iulie 2023","2023.A.9.","În cursul unui proces izobar, lucrul mecanic efectuat de un gaz ideal reprezintă un sfert din căldura primită. Exponentul adiabatic al gazului este: (9 pct.)\\","$\frac{4}{3}$","$\frac{7}{5}$","$\frac{8}{5}$","$\frac{10}{7}$","$\frac{3}{2}$","$\frac{5}{3}$","N/A","a","Folosim relația dintre căldură și lucru mecanic:\\ $L=\frac{1}{4} Q \Rightarrow \nu R \Delta T=\frac{1}{4} \nu C_{p} \Delta T \Rightarrow C_{p}=4 R$;\\ Conform relației Rober-Mayer, $C_{p}-C_{V}=R \Rightarrow C_{V}=C_{p}-R=4 R-R=3 R$.\\ Obținem exponenul adiabatic $\gamma=\frac{C_{p}}{C_{V}}=\frac{4 R}{3 R}=\frac{4}{3}$. Răspuns corect a.\\"
"Admitere Fb iulie 2023","2023.A.10.","Viteza unui mobil aflat în mişcare rectilinie este reprezentată în figură. Viteza medie a mobilului în intervalul de timp cuprins între $t_{1}=1 \mathrm{~s}$ şi $t_{2}=5 \mathrm{~s}$ este: (9 pct.)\\","$3,75 \mathrm{~m} / \mathrm{s}$","$5 \mathrm{~m} / \mathrm{s}$","$10 \mathrm{~m} / \mathrm{s}$","$7,5 \mathrm{~m} / \mathrm{s}$","$11,25 \mathrm{~m} / \mathrm{s}$","$4,5 \mathrm{~m} / \mathrm{s}$","images/2025_08_19_17c3b9471cd89f0defc4g-02","a","Graficul este format din 3 zone în intervalul $t_{1}=1 \mathrm{~s}$ și $t_{2}=5 \mathrm{~s}$:\\ Între $t=1 \mathrm{~s}$ și $t=2 \mathrm{~s}$, este o dreaptă descendentă de la $10 \mathrm{~m} / \mathrm{s}$ la $0 \mathrm{~m} / \mathrm{s}$, deci aflăm distanța din aria triunghiului: $d_{1}=\frac{1}{2}(2-1)(10-0)=5 \mathrm{~m}$.\\ Între $t=2 \mathrm{~s}$ și $t=4 \mathrm{~s}$, viteza este nulă, deci $d_{2}=0 \mathrm{~m}$.\\ Între $t=4 \mathrm{~s}$ și $t=5 \mathrm{~s}$, viteza este constantă, deplasarea aflându-se din aria dreptunghiului: $d_{3}=(5-4) \cdot 10=10 \mathrm{~m}$.\\ Din toate, deplasarea totală este $\Delta d=d_{1}+d_{2}+d_{3}=15 \mathrm{~m}$.\\ Deci viteza medie este: $v_{m}=\frac{\Delta d}{\Delta t}=\frac{15}{4}=3,75 \mathrm{~m} / \mathrm{s}$. Răspuns corect a.\\"
"Admitere F iulie 2024","2024.A.1.","La o sursă de tensiune ideală se conectează 15 ampermetre ideale, fiecare conectat în serie cu câte un rezistor cu rezistența $R_{i}(i=1, \ldots, 15)$ și 15 voltmetre ideale, fiecare dintre ele fiind conectat în paralel cu câte un rezistor cu rezistența $R$, ca în figură. Voltmetrul $V_{1}$ indică $U_{1}=9 \mathrm{~V}$, iar primele două ampermetre indică $I_{1}=2,9 \mathrm{~mA}$ și $I_{2}=2,6 \mathrm{~mA}$. Suma valorilor indicate de celelalte voltmetre este: (9 pct.)\\","$7,8 \mathrm{~V}$","$80 \mathrm{~V}$","$9 \mathrm{~V}$","$90 \mathrm{~V}$","$8 \mathrm{~V}$","$78 \mathrm{~V}$","images/2025_08_29_f6247b646b21fa124082g-1(1)","f","Considerăm figura problemei:\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_08_29_e254769008c62e16ba92g-1} \end{center}\\ Avem:\\ $\sum_{i=2}^{15} U_{i}=r \sum_{i=2}^{15} i \\ \sum_{i=2}^{15} i=\left(I_{2}-I_{3}\right)+\left(I_{3}-I_{4}\right)+\cdots+\left(I_{13}-I_{14}\right)+\left(I_{14}-I_{15}\right)=I_{2} \\ \sum U_{i}=r \cdot I_{2} \\ i_{1}=I_{1}-I_{2} \\ U_{i}=i_{1} \cdot r \Rightarrow R=\frac{U_{i}}{I_{1}-I_{2}}=\frac{9}{2,9-2,6}=\frac{9}{0,3}=30 \Omega \Rightarrow \sum_{i=2}^{15} U_{i}=30 \cdot 2,6=78 \mathrm{~V}$. Răspuns corect f.\\"
